	shannon_entropy
14989.soil.hip.UTK.K016.02.2016.05.01.day19	5.864523333936766
14989.soil.hip.UTK.K016.02.2016.05.03.day21	5.806842149918781
14989.soil.hip.UTK.K016.03.2016.05.06.day1	6.341564507036154
14989.soil.hip.UTK.K016.03.2016.05.07.day2	7.250097552458603
14989.soil.hip.UTK.K016.03.2016.05.08.day3	6.747283423927705
14989.soil.hip.UTK.K016.03.2016.05.10.day5	5.341061484127332
14989.soil.hip.UTK.K016.03.2016.05.11.day6	6.268144880708727
14989.soil.hip.UTK.K016.03.2016.05.13.day8	6.033661773280471
14989.soil.hip.UTK.K016.03.2016.05.14.day9	5.445668905272816
14989.soil.hip.UTK.K016.03.2016.05.15.day10	6.0504471919658585
14989.soil.hip.UTK.K016.03.2016.05.16.day11	4.80113482153328
14989.soil.hip.UTK.K016.03.2016.05.17.day12	6.013449774757736
14989.soil.hip.UTK.K016.03.2016.05.18.day13	5.658218625391578
14989.soil.hip.UTK.K016.03.2016.05.19.day14	5.919373975629386
14989.soil.hip.UTK.K016.03.2016.05.20.day15	5.586964625455899
14989.soil.hip.UTK.K016.03.2016.05.21.day16	6.4831755432292475
14989.skin.hip.CMU.16.03.2016.3.day3	4.732416315645281
14989.skin.hip.CMU.16.04.2016.mo.day8	3.414770688624526
14989.skin.hip.SHSU.2016.007.2016.04.17.day3	4.819341420592839
14989.skin.hip.SHSU.2016.007.2016.04.18.day4	3.5010962837578723
14989.skin.hip.SHSU.2016.007.2016.04.19.day5	3.6019380697230754
14989.skin.hip.SHSU.2016.007.2016.04.20.day6	3.205841359262685
14989.skin.hip.SHSU.2016.007.2016.04.21.day7	3.6519799399593156
14989.skin.hip.SHSU.2016.007.2016.04.22.day8	3.6120576320100115
14989.skin.hip.SHSU.2016.007.2016.04.23.day9	3.806680726772251
14989.skin.hip.SHSU.2016.007.2016.04.24.day10	4.217966557957011
14989.skin.hip.SHSU.2016.007.2016.04.25.day11	4.409534322907065
14989.skin.hip.SHSU.2016.007.2016.04.26.day12	4.074461847077955
14989.skin.hip.SHSU.2016.007.2016.04.27.day13	3.7996544721069925
14989.skin.hip.SHSU.2016.007.2016.04.28.day14	5.044936255028549
14989.skin.hip.SHSU.2016.007.2016.04.29.day15	4.394642201526001
14989.skin.hip.SHSU.2016.007.2016.04.30.day16	4.512931819274581
14989.skin.hip.SHSU.2016.007.2016.05.01.day17	5.008015543175067
14989.skin.hip.SHSU.2016.007.2016.05.02.day18	5.255230931591546
14989.skin.hip.SHSU.2016.007.2016.05.03.day19	5.597185003467758
14989.skin.hip.SHSU.2016.007.2016.05.04.day20	5.9082558410287795
14989.skin.hip.SHSU.2016.007.2016.05.05.day21	3.921504586263651
14989.skin.hip.SHSU.2016.011.2016.04.15.day1	0.23828541424962094
14989.skin.hip.SHSU.2016.011.2016.04.16.day2	1.4031185117617098
14989.skin.hip.SHSU.2016.011.2016.04.17.day3	3.6244134433331294
14989.skin.hip.SHSU.2016.011.2016.04.18.day4	2.759633147526049
14989.skin.hip.SHSU.2016.011.2016.04.19.day5	3.949658071892327
14989.skin.hip.SHSU.2016.011.2016.04.20.day6	4.126835422154242
